Item,Category,Quantity,Daily Limit,Emoji
smartwatch + mini cooler,common,30,5,⌚
power bank + neckband,common,30,5,🔋
luggage bags,common,30,5,🧳
Free pouch and screen guard,common,30,5,📱
Dinner Set,common,30,5,🍽️
Earbuds and G.Speaker,common,30,5,🎧
jio tab,rare,2,1,📱
intex home theatre,rare,4,1,🎵
Mi smart speaker,rare,1,1,🔊
zebronics astra BT speaker,rare,9,1,🔊
boult 60w soundbar,rare,6,1,🔊
gas stove,rare,3,1,🔥
Mixer Grinder,rare,6,1,⚡
pressure cooker,rare,5,1,🍲
refrigerator,ultra_rare,1,1,❄️
Budget Smartphone,ultra_rare,1,1,📱
