Item,Category,Quantity,Daily Limit,Available Dates
smartwatch + mini cooler,Common,100,100,2025-10-18
power bank + neckband,Common,100,100,2025-10-18
luggage bags,Common,100,100,2025-10-18
Free pouch and screen guard,Common,10,5,2025-10-18
Dinner Set,Common,20,5,2025-10-18
Earbuds and G.Speaker,Common,10,3,2025-10-18
intex home theatre,Rare,4,1,2025-10-18
zebronics astra BT speaker,Rare,9,1,2025-10-18
gas stove,Rare,3,1,2025-10-18
Mixer Grinder,Rare,6,1,2025-10-18
pressure cooker,Common,5,1,2025-10-18
