Item,Category,Quantity,Daily Limit,Available Dates
smartwatch + mini cooler,Common,100,100,2025-10-01
power bank + neckband,Common,100,100,2025-10-01
luggage bags,Common,100,100,2025-10-01
Free pouch and screen guard,Common,10,5,2025-10-01
Dinner Set,Common,20,5,2025-10-01
Earbuds and G.Speaker,Common,10,3,2025-10-01
intex home theatre,Rare,4,1,2025-10-01
zebronics astra BT speaker,Rare,9,1,2025-10-01
Mixer Grinder,Rare,6,1,2025-10-01
pressure cooker,Common,5,1,2025-10-01
silver coin,Ultra Rare,2,1,2025-10-01
aircooler,Ultra Rare,2,1,2025-10-01
