Item,Category,Quantity,Daily Limit,Available Dates
smartwatch + mini cooler,Common,100,100,2025-10-20
power bank + neckband,Common,100,100,2025-10-20
luggage bags,Common,100,100,2025-10-20
Free pouch and screen guard,Common,10,5,2025-10-20
Dinner Set,Common,20,5,2025-10-20
Earbuds and G.Speaker,Common,10,3,2025-10-20
jio tab,Rare,2,1,2025-10-20
intex home theatre,Rare,4,1,2025-10-20
zebronics home theatre,Rare,6,1,2025-10-20
zebronics astra BT speaker,Rare,9,1,2025-10-20
boult 60w soundbar,Rare,6,1,2025-10-20
Mixer Grinder,Rare,6,1,2025-10-20
pressure cooker,Common,5,1,2025-10-20
Smart Tv 32 inches,Ultra Rare,1,1,2025-10-20
washing machine,Ultra Rare,3,1,2025-10-20
